Gear_type,fuel_type,location,mileage,name,price,volume_of_fuel,year_of_manufacture
Automatic,Petrol,Karachi,60000,"
LexusRXSeries2012450HforSale
",9500000.0,3500,9
Automatic,Petrol,Karachi,125000,"
ToyotaLandCruiser2011AXforSale
",16500000.0,4600,10
Automatic,Petrol,Karachi,80000,"
ToyotaPrado2013TXLPackage2.7forSale
",0,2700,8
Automatic,Hybrid,Karachi,32914,"
ToyotaAqua2017SforSale
8.2/10
",3220000.0000000005,1500,4
Automatic,Petrol,Karachi,92000,"
ToyotaPrado2011TX2.7forSale
",12500000.0,2700,10
Automatic,Petrol,Karachi,6000,"
ToyotaPrado2018forSale
",0,2700,3
Automatic,Petrol,Karachi,82000,"
ToyotaLandCruiser2013ZXforSale
",24500000.0,4600,8
Manual,Petrol,Karachi,52000,"
SuzukiMehran2017VXREuroIIforSale
",825000.0,800,4
Manual,Petrol,Karachi,15000,"
SuzukiAlto2019VXRforSale
",1375000.0,660,2
Automatic,Petrol,Karachi,3000,"
SuzukiCultus2021AutoGearShiftforSale
",2275000.0,1000,0
Automatic,Petrol,Karachi,25330,"
ToyotaPrado2017TX2.7forSale
",19500000.0,2700,4
Automatic,Petrol,Karachi,2600,"
ToyotaLandCruiser2019ZXforSale
",0,4608,2
Automatic,Petrol,Karachi,86000,"
ToyotaPrado2011TX2.7forSale
",11200000.000000002,2700,10
Manual,Petrol,Karachi,59000,"
SuzukiAlto2012VXR(CNG)forSale
",725000.0,1000,9
Manual,Petrol,Karachi,100000,"
ToyotaCorolla2017GLi1.3VVTiforSale
",2425000.0,1300,4
Manual,Petrol,Karachi,165500,"
SuzukiWagonR2015VXLforSale
",1395000.0,1000,6
Automatic,Petrol,Karachi,64000,"
ToyotaCorolla2017AltisAutomatic1.6forSale
",2800000.0,1600,4
Automatic,Diesel,Karachi,44000,"
ToyotaHilux2017RevoVAutomatic3.0forSale
",5875000.0,3000,4
Manual,Petrol,Karachi,40000,"
SuzukiKhyber1995GAforSale
",400000.0,1000,26
Automatic,Hybrid,Karachi,103000,"
ToyotaSienta2015GforSale
",3297999.9999999995,1500,6
Manual,Petrol,Karachi,68000,"
ToyotaCorolla2015GLi1.3VVTiforSale
",2235000.0,1300,6
Automatic,Petrol,Karachi,12,"
DFSKGlory58020211.5CVTforSale
",5000000.0,1500,0
Automatic,Petrol,Karachi,100000,"
HondaCivicReborn2009VTiOrielProsmatec1....
",1739999.9999999998,1800,12
Automatic,Petrol,Karachi,500,"
ToyotaCrown2020RoyalSaloonGforSale
",35000000.0,2500,1
Automatic,Petrol,Karachi,33000,"
NissanDayz2018JforSale
",180000.0,660,3
Automatic,Petrol,Karachi,8715,"
ToyotaCorolla2020AltisAutomatic1.6forSale
",3600000.0,1600,1
Automatic,Petrol,Karachi,100000,"
ToyotaLandCruiser100Series2000VXLimited...
",6500000.0,4700,21
Manual,Petrol,Karachi,90000,"
ToyotaCorolla2013XLiVVTiforSale
",1750000.0,1300,8
Automatic,Petrol,Karachi,22500,"
ToyotaPrado2017TX2.7forSale
",21500000.0,2700,4
Automatic,Hybrid,Karachi,6100,"
RangeRoverAutobiography2020forSale
",0,2000,1
Automatic,Petrol,Karachi,187230,"
ToyotaCami2004forSale
",1350000.0,1300,17
Manual,Petrol,Karachi,110000,"
DaihatsuTerios20074x4forSale
",1750000.0,1500,14
Automatic,Petrol,Karachi,18000,"
SuzukiWagonR2018forSale
",1939999.9999999998,660,3
Automatic,Hybrid,Karachi,20080,"
HondaVezel2017HybridZHondaSensingfor...
",4450000.0,1500,4
Automatic,Petrol,Karachi,11000,"
ToyotaCorolla2020AltisAutomatic1.6forSale
",3590000.0,1600,1
Manual,Petrol,Karachi,63000,"
HondaCity20161.3i-VTECforSale
",2025000.0,1300,5
Automatic,Petrol,Karachi,685,"
NissanPatrol2020forSale
",0,5700,1
Automatic,Petrol,Karachi,129628,"
SubaruDiasWagon2011forSale
7.6/10
",1095000.0,660,10
Automatic,Petrol,Karachi,112000,"
ToyotaProbox2006forSale
",1750000.0,1500,15
Automatic,Petrol,Karachi,6000,"
ToyotaYaris2020ATIVXCVT1.5forSale
",3075000.0,1500,1
Automatic,Petrol,Karachi,3000,"
SuzukiCultus2021AutoGearShiftforSale
",2275000.0,1000,0
Automatic,Petrol,Karachi,38000,"
HondaCity20181.3i-VTECProsmatecforSale
",2600000.0,1300,3
Manual,CNG,Karachi,95000,"
SuzukiMargalla1995GLforSale
",310000.0,1300,26
Automatic,Petrol,Karachi,25330,"
ToyotaPrado2017TX2.7forSale
",19500000.0,2700,4
Automatic,Petrol,Karachi,2600,"
ToyotaLandCruiser2019ZXforSale
",0,4608,2
Automatic,Petrol,Karachi,125000,"
HondaCivic2003VTiOrielProsmatec1.6for...
",985000.0,1600,18
Manual,Petrol,Karachi,100000,"
SuzukiCultus2007VXRforSale
",627000.0,1000,14
Automatic,Petrol,Karachi,95000,"
ToyotaPrado120Series2007TX2.7forSale
",7000000.0,2700,14
Manual,Petrol,Karachi,180000,"
ToyotaCorolla2003SESaloonforSale
",1150000.0,1600,18
Automatic,Petrol,Karachi,110000,"
MitsubishiMinica2008forSale
",775000.0,660,13
Automatic,Petrol,Karachi,78000,"
MitsubishiMinicabBravo2013forSale
",925000.0,660,8
Manual,Petrol,Karachi,90000,"
SuzukiMehran2016VXREuroIIforSale
",800000.0,800,5
Automatic,Petrol,Karachi,29100,"
MercedesBenzCLAClass2014CLA180forSale
",7300000.0,1600,7
Automatic,Petrol,Karachi,50900,"
HondaCity20121.3i-VTECProsmatecforSale
",1895000.0,1300,9
Automatic,Petrol,Karachi,78000,"
HondaCivicRebirth2013OrielProsmatecUGfo...
",2200000.0,1800,8
Automatic,Petrol,Karachi,14162,"
RangeRoverSport2018HSEforSale
",41000000.0,2000,3
Automatic,Petrol,Karachi,70000,"
MitsubishiEkWagon2014forSale
",1400000.0,660,7
Automatic,Petrol,Karachi,44000,"
DaihatsuMira2018GSAIIIforSale
",2450000.0,660,3
Automatic,Petrol,Karachi,44000,"
DaihatsuMira2020XforSale
",1980000.0,660,1
Automatic,Petrol,Karachi,9000,"
AudiA320171.2TFSIStandardforSale
",5800000.0,1200,4
Automatic,Petrol,Karachi,2000,"
ToyotaPasso2020ModaGforSale
",2900000.0,1000,1
Manual,Petrol,Karachi,65000,"
SuzukiMehran2019VXREuroIIforSale
",900000.0,800,2
Automatic,Hybrid,Karachi,90000,"
ToyotaPrius2017SforSale
",0,1800,4
Automatic,Hybrid,Karachi,76861,"
ToyotaAqua2017GLEDSoftLeatherSelection...
",0,1500,4
Automatic,Petrol,Karachi,120000,"
ToyotaCorolla2011GLiAutomatic1.6VVTifo...
",1945000.0,1600,10
Automatic,Petrol,Karachi,19500,"
ToyotaPrado2018TXLimited2.7forSale
",0,2700,3
